orig_node	entity_uri
Clostridium bartletti	NCBITaxon:261299
Roseburia faecis	NCBITaxon:301302
Roseburia hominis	NCBITaxon:301301
Enterococcus casseliflavus	NCBITaxon:37734
Turicibacter sanguinis	NCBITaxon:154288
Bacteroides massiliensis	NCBITaxon:204516
Barnesiella intestinihominis	NCBITaxon:487174
Alistipes onderdonkii	NCBITaxon:328813
Alistipes shahii	NCBITaxon:328814
Caloramator	NCBITaxon:44258
Clostridium aminophilum	NCBITaxon:1526
Eubacterium coprostanoligenes	NCBITaxon:290054
Eubacterium siraeum	NCBITaxon:39492
Odoribacter splanchnicus	NCBITaxon:28118
Parasutterella excrementihominis	NCBITaxon:487175
Enterobacter hormaechei	NCBITaxon:158836
Parascardovia denticolens	NCBITaxon:78258
Alloprevotella	NCBITaxon:1283313
Stomatobaculum	NCBITaxon:1213720
Lachnoanaerobaculum umeaense	NCBITaxon:617123
Alicyclobacillus	NCBITaxon:29330
Prevotella pleuritidis	NCBITaxon:407975
Treponema maltophilum	NCBITaxon:51160
Rothia aeria	NCBITaxon:172042
Prevotella oris	NCBITaxon:28135
Fretibacterium fastidiosum	NCBITaxon:651822
Deltaproteobacteria	NCBITaxon:28221
Shewanella	NCBITaxon:22
Dermacoccus	NCBITaxon:57495
"Actinomycetales	"	NCBITaxon:2037
Comamonas	NCBITaxon:283
Rubrobacter	NCBITaxon:42255
Clostridium saccharolyticum	NCBITaxon:84030
Tyzzerella	NCBITaxon:1506577
Lachnoclostridium	NCBITaxon:1506553
Hungatella	NCBITaxon:1649459
Peptoclostridium	NCBITaxon:1481960
Ruminiclostridium	NCBITaxon:1508657
Lachnoanaerobaculum	NCBITaxon:1164882
Rhodococcus	NCBITaxon:1827
Flavonifractor	NCBITaxon:946234
anaerobacter	NCBITaxon:not_found
Clostridium cellulosi	NCBITaxon:29343
Arthrospira	NCBITaxon:35823
Deinococcaceae	NCBITaxon:183710
Bacteriodes-Prevotella	NCBITaxon:not_found
Corynebacterium kroppenstedtii	NCBITaxon:161879
Chlamydia	NCBITaxon:810
Rathayibacter	NCBITaxon:33886
Yimella	NCBITaxon:908935
Aeromicrobium	NCBITaxon:2040
Pseudonocardia	NCBITaxon:1847
Tessaracoccus	NCBITaxon:72763
Skermanella	NCBITaxon:204447
Dyadobacter	NCBITaxon:120831
Roseomonas	NCBITaxon:125216
Cellvibrio	NCBITaxon:10
Geminicoccus	NCBITaxon:489140
Propionibacterium humerusii	NCBITaxon:1050843
Propionibacterium granulosum	NCBITaxon:33011
Comamonadaceae	NCBITaxon:80864
Dechloromonas	NCBITaxon:73029
Paenibacillus	NCBITaxon:44249
uncultured Clostridiales II	NCBITaxon:172733
Morganella	NCBITaxon:581
Succinivibrio	NCBITaxon:83770
